"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","job"
"Technical Recruiter US IT Staffing (night Shift)- Noida","Technical Recruiter US IT Staffing (night Shift)- Noida","FCS Software Solutions Limited","Noida(Sector-57 Noida)","IT Recruitment- Technical Recruitment- US Staffing- Screening...","2018-04-05",1.0,3.0,250000.0,"IT"
"Sr IT Recruiter Opening with Maven IT sol India Pvt ltd","Sr IT Recruiter Opening with Maven IT sol India Pvt ltd","Maven IT Solutions (India) Pvt. Ltd.","Delhi NCR(Vaishali)- Ghaziabad","it recruitment- screening- sourcing- hiring- employee referral","2018-04-05",1.0,5.0,0.0,"IT"
"US IT Technical Recruiter","US IT Technical Recruiter","Cogent Data Solutions LLC","Hyderabad","Technical Recruitment- W2- Dice- US Recruitment- Sourcing- Interviewing...","2018-04-05",1.0,3.0,0.0,"IT"
"Looking for US IT Bench Sales Recruiters","Looking for US IT Bench Sales Recruiters","HSK IT Solutions India Pvt. Ltd.","Hyderabad","us it recruitment- h1b- bench sales- ead- h1 transfer- C2C- corp - corp","2018-04-05",2.0,6.0,0.0,"IT"
"Technical Lead - Sharepoint MENA IT SD","Technical Lead - Sharepoint MENA IT SD","EYGBS (India) Private Limited","Kochi- Trivandrum","Javascript- Bootstrap- JQuery- Sharepoint Designer- SQL Server- Rest...","2018-04-05",10.0,15.0,0.0,"IT"
"BDE for US Market - Stravis IT Solutions","BDE for US Market - Stravis IT Solutions","StraVis IT Solutions Pvt. Ltd.","Hyderabad","Sales Account- Cold Calling- Prospecting- Bde- Presales- Account Management...","2018-04-05",0.0,2.0,0.0,"IT"
"IT Recruiter for APAC & EMEA Region","IT Recruiter for APAC & EMEA Region","ValueLabs LLP","Hyderabad","apac- EMEA- middle east- APAC Hiring- apac recruitment...","2018-04-05",3.0,6.0,0.0,"IT"
"Content Writer  - IT / Software -  NSEZ  Noida","Content Writer  - IT / Software -  NSEZ  Noida","ProProfs.com","Delhi NCR- Noida","content writer-  content writing-  articles-  blogs-  proof reading...","2018-04-05",1.0,3.0,0.0,"IT"
"Looking for Freshers NON IT - (night Shifts)","Looking for Freshers NON IT - (night Shifts)","Cogent Data Solutions LLC","Hyderabad(Madhapur)","Linkedin- Client Interaction- Social Media- Communication Skills...","2018-04-05",0.0,0.0,100000.0,"IT"
"Sr. IT Recruiter","Sr. IT Recruiter","Opteamix India Business Solutions Private Limited society","Bengaluru","Technical Recruitment- IT Recruitment- HR- Sourcing- Interviewing- Staffing...","2018-04-05",4.0,6.0,0.0,"IT"
"Product Manager- Banking Correspondent | IT MNC | Mumbai","Product Manager- Banking Correspondent | IT MNC | Mumbai","AERONUBE TECHNOLOGY PRIVATE LIMITED","Mumbai","Product- Process- Technology- Implementation","2018-04-05",5.0,10.0,0.0,"IT"
"IT System Administrator","IT System Administrator","Saurashtra Salt Works Pvt. Ltd.","Saudi Arabia","linux system administrator- unix system programming- oracle dba- it project...","2018-04-05",3.0,4.0,20000.0,"IT"
"Urgently Hiring Digital Marketing Executive and IT Sales Executive","Urgently Hiring Digital Marketing Executive and IT Sales Executive","Atechnocrat Web Solutions PVT LTD","Delhi NCR(Preet Vihar)","it sales- business development- digital marketing...","2018-04-05",1.0,3.0,0.0,"IT"
"Walk-in Drive for Domestic IT Recruiter Position @ Hyderabad","Walk-in Drive for Domestic IT Recruiter Position @ Hyderabad","Ojas Innovative Technologies Private Limited","Hyderabad","IT Recruiter- Senior Recruiter- HR Recruiter- Contract Staffing...","2018-04-05",2.0,4.0,0.0,"IT"
"Full Stack Developer | IT MNC | Mumbai","Full Stack Developer | IT MNC | Mumbai","AERONUBE TECHNOLOGY PRIVATE LIMITED","Mumbai","Python- Flask- Django- Linux- Git- HTML- JavaScript- React- Angular JS...","2018-04-05",3.0,7.0,0.0,"IT"
"Sales Experience in IT Industry","Sales Experience in IT Industry","Capgemini Technology Services India Limited","Bengaluru","Marketing- Sales- Mba","2018-04-05",3.0,5.0,0.0,"IT"
"Project Manager - IT Applications","Project Manager - IT Applications","EYGBS (India) Private Limited","Bengaluru- Kochi- Trivandrum","Project Management- PMP- Prince2- PMI- ITIL- CAPM- Scope Management...","2018-04-05",12.0,15.0,0.0,"IT"
"IT Executive","IT Executive","Tech Mahindra Business Services Limited","Mumbai","Business Services","2018-04-05",2.0,7.0,100000.0,"IT"
"Openings for IT Internal Auditor","Openings for IT Internal Auditor","Rimini Street India Operations Pvt. Ltd.","Bengaluru","coso- internal audit- accounting- cisa- audit compliance- risk assessment...","2018-04-05",4.0,9.0,700000.0,"IT"
". Net Developer - GDS IT SD",". Net Developer - GDS IT SD","EYGBS (India) Private Limited","Kochi- Trivandrum","HTML5.0- CSS 3.0- JQuery- Javascript- DHTML- CSS- DOM- Asp.Net MVC...","2018-04-05",3.0,6.0,0.0,"IT"
"Business Developer B2B- IT Sales/erp Sales/software Sales","Business Developer B2B- IT Sales/erp Sales/software Sales","Premium","Bengaluru- Kochi- Mangalore- Nagpur- Pondicherry- Salem- Trichy- Tirupur","Business Development- Software Sales- IT Sales- ERP Sales- Cold Calling...","2018-04-05",2.0,5.0,0.0,"IT"
"Business Developer B2B- IT Sales/erp Sales/software Sales","Business Developer B2B- IT Sales/erp Sales/software Sales","Premium","Hyderabad- Pune- Ahmedabad- Bareilly- Chandigarh- Jaipur- Kanpur- Lucknow- Surat","Business Development- Software Sales- IT Sales- ERP Sales- Cold Calling...","2018-04-05",2.0,5.0,0.0,"IT"
"Analyst- US IT Recruitment- Big 4 Advisory- Gurgaon","Analyst- US IT Recruitment- Big 4 Advisory- Gurgaon","Anlage Infotech (I) Pvt. Ltd.","Gurgaon","Dice US IT Recruitment- US IT Staffing- IT Staffing- Technical Recruitment-...","2018-04-05",1.0,3.0,100000.0,"IT"
"IT Recruiter role  - Management Trainee/ Staffing Specialist","IT Recruiter role  - Management Trainee/ Staffing Specialist","Pylon Management Consulting Pvt Ltd","Gurgaon(Udyog Vihar)","Recruitment - staffing- it recruiter- technical recruiter","2018-04-05",0.0,4.0,200000.0,"IT"
"L1 & L2 Support For IT Service DESK @ Bangalore / Kolkata / Chennai","L1 & L2 Support For IT Service DESK @ Bangalore / Kolkata / Chennai","People Prime Worldwide Pvt. Ltd.","Bengaluru- Kolkata","it service desk- troubleshooting- networking- communication...","2018-04-05",1.0,6.0,300000.0,"IT"
"Opening for IT Service Desk @ Bangalore","Opening for IT Service Desk @ Bangalore","People Prime Worldwide Pvt. Ltd.","Bengaluru- Kolkata","it service desk- it help desk- desktop support- technical support...","2018-04-05",1.0,6.0,200000.0,"IT"
"Consultantsr Consultant - IT Recruitment","Consultantsr Consultant - IT Recruitment","Next Step Services Private Limited","Delhi NCR- Ghaziabad","recruitment- screening- head hunting- sourcing- it recruiter...","2018-04-05",0.0,3.0,0.0,"IT"
"Urgent Opening for Jr Software Developer with IT firm @ Ahmedabad","Urgent Opening for Jr Software Developer with IT firm @ Ahmedabad","AddRec Solutions Pvt.Ltd.","Ahmedabad","asp.net- wcf- javascript- sql server- jquery- windows application...","2018-04-05",1.0,6.0,100000.0,"IT"
"TECH Support / IT HELP DESK / DAY Shift / Fresher / SAL UPTO 3.5lpa","TECH Support / IT HELP DESK / DAY Shift / Fresher / SAL UPTO 3.5lpa","Rivera Manpower Services","Bengaluru","technical support- customer service- ites- night shift- networking...","2018-04-05",0.0,2.0,200000.0,"IT"
"Urgent Opening for IT Recruiter & Sr. IT Recruiter  - US Staffing","Urgent Opening for IT Recruiter & Sr. IT Recruiter  - US Staffing","eTeam Inc.","Bengaluru- Ahmedabad- Noida","Technical Recruitment- Us Staffing- us recruitment- us recruiter...","2018-04-05",0.0,5.0,0.0,"IT"
"Hiring for IT Recruiter - Sakinaka (mumbai)","Hiring for IT Recruiter - Sakinaka (mumbai)","aasaanjobs private limited","Mumbai(Sakinaka)","IT Recruitment- Shortlisting- Screening- Sourcing- Interview Scheduling...","2018-04-05",0.0,5.0,0.0,"IT"
"Hiring for Non IT Recruiter (sakinaka)","Hiring for Non IT Recruiter (sakinaka)","aasaanjobs private limited","Mumbai(Sakinaka)","non it recruitment- shortlisting- sourcing- telephonic- screening...","2018-04-05",1.0,4.0,0.0,"IT"
"Leadership Role - Core Banking IT Product Engineering (MNC IT Co)","Leadership Role - Core Banking IT Product Engineering (MNC IT Co)","Vertex Corporate Services (I) Pvt Ltd","Delhi NCR","Project Management- Engineering Management- Release Management...","2018-04-05",15.0,20.0,0.0,"IT"
"Plant IT Manager","Plant IT Manager","PeopleStrong HR Services Pvt. Ltd.","Pune","plant IT- plant network- manufacturing network- factory network...","2018-04-05",10.0,15.0,1200000.0,"IT"
"Team Leader-it Recruitment","Team Leader-it Recruitment","Next Step Services Private Limited","Delhi NCR- Ghaziabad","it recruitment- sourcing- team handling- head hunting- it recruiter...","2018-04-05",4.0,6.0,0.0,"IT"
"IT Head - SAP","IT Head - SAP","Strategic Management India Consultants Pvt Ltd","Kolkata","It Leader- SAP Basis Administration- IT Operations Management...","2018-04-05",20.0,25.0,0.0,"IT"
"US IT Recruiter","US IT Recruiter","Orris Info Lab Private Limited","Trichy","US IT Recruitment- US IT Staffing- H1B- C2C- Screening- Sourcing- VMS...","2018-04-05",1.0,3.0,0.0,"IT"
"We Having Opportunity for one of the Leading IT Industry at Baner loca","We Having Opportunity for one of the Leading IT Industry at Baner loca","Talent Sketchers","Pune(Baner)","unix- sql queries- ticketing tools- sql- shell scripting- mysql","2018-04-05",2.0,5.0,100000.0,"IT"
"Dynpro India Pvt. Ltd. || Key Account Manager || IT Sector","Dynpro India Pvt. Ltd. || Key Account Manager || IT Sector","Dynpro India Pvt. Ltd.","Chennai","key account management- client engagement- customer engagement...","2018-04-05",2.0,5.0,175000.0,"IT"
"IT Strategist","IT Strategist","Sofomation Energy Consultants Pvt. Ltd","Qatar","IT Strategy Planning- IT Strategy- IT Security- information security...","2018-04-05",9.0,14.0,0.0,"IT"
"IT Recruiter","IT Recruiter","Han Digital Solution (P) Ltd","Bengaluru(Domlur)","IT Recruitment- Screening- It Sourcing- Interview Scheduling- Communication...","2018-04-05",0.0,3.0,50000.0,"IT"
"Sr. IT Recruiter","Sr. IT Recruiter","Integrated Personnel Services Pvt Ltd","Mumbai(Lokhandwala township)","IT Recruitment- Sourcing Profiles- Screening- Interview Scheduling...","2018-04-05",3.0,5.0,0.0,"IT"
"Opening IT Service DESK @chennai Kolkata","Opening IT Service DESK @chennai Kolkata","People Prime Worldwide Pvt. Ltd.","Chennai- Bengaluru- Kolkata","Networking- Troubleshooting- Hardware- Windows Installation...","2018-04-05",1.0,6.0,300000.0,"IT"
"Job | IT Recruiter","Job | IT Recruiter","XPT Consultancy  Software Services Pvt Ltd","Bengaluru(Marathahalli)","IT Recruiter- Talent Acquisition Permanent Staffing- Contract Staffing...","2018-04-05",1.0,2.0,0.0,"IT"
"Urgent Opening for Data/ Analytics BA in MNC IT Company","Urgent Opening for Data/ Analytics BA in MNC IT Company","Delight HR Services Pvt Ltd","Bengaluru","Data Analytics","2018-04-05",8.0,10.0,1000000.0,"IT"
"US IT Recruiter","US IT Recruiter","Maxima IT Consulting India Pvt Ltd","Pune","US IT Recruitment- C2C- W2- C2H- Screening- Sourcing- Job Posting...","2018-04-04",0.0,2.0,200000.0,"IT"
"Recruiter/ Senior Recruiter - Non IT- Moti Nagar- Dwarka Metro","Recruiter/ Senior Recruiter - Non IT- Moti Nagar- Dwarka Metro","BCS Consulting Pvt Ltd.","Delhi(Moti Nagar)","Recruitment- Screening- Telephonic- Sourcing- Interviewing- HR- Hiring...","2018-04-05",1.0,3.0,150000.0,"IT"
"US IT Technical Recruiter","US IT Technical Recruiter","Cogent Data Solutions LLC","Hyderabad(Madhapur)","Technical Recruitment- W2- Dice- US Recruitment- Sourcing- Interviewing...","2018-04-05",1.0,3.0,0.0,"IT"
"Big Data Architect - IT","Big Data Architect - IT","Premium","Pune","Big Data Architect- Data Architect- Core Java- J2EE- NoSQL- Hibernate...","2018-04-05",10.0,18.0,0.0,"IT"
"Hiring IT Recuiters/technical Recruiters","Hiring IT Recuiters/technical Recruiters","FCS Software Solutions Limited","Noida(Sector-57 Noida)","Technical Recruitment- HR- Screening- Sourcing- Recruitment Consulting...","2018-04-04",0.0,2.0,175000.0,"IT"
"Hiring for IT Recruiters- Bangalore","Hiring for IT Recruiters- Bangalore","ELPIS IT SOLUTIONS PVT LTD","Bengaluru(Kundalahalli)","it recruitment- hiring- strategy- verbal communication...","2018-04-04",0.0,2.0,50000.0,"IT"
"IT Recruitment Executive","IT Recruitment Executive","En Pointe Adwisers","Gurgaon","IT Recruitment- IT Hiring- Technology Recruitment","2018-04-04",8.0,10.0,0.0,"IT"
"Full Stack Java Position at Xebia IT Architects.","Full Stack Java Position at Xebia IT Architects.","Xebia IT Architects India Pvt Ltd","Bengaluru","java- j2ee- maven- microservices- rest- oauth- jenkins- design patterns...","2018-04-04",7.0,12.0,550000.0,"IT"
"Advisor IT Development","Advisor IT Development","Dell International Services India  Private Limited","Bengaluru","IT Development- test planning- test scripts- Testing- scalability testing...","2018-04-05",8.0,10.0,0.0,"IT"
"HCL Technologies - IT Contract Management","HCL Technologies - IT Contract Management","Hcl Technologies Limited","Delhi NCR- Noida","Contract Management- contract drafting- contract vetting- contract review","2018-04-05",7.0,12.0,0.0,"IT"
"Brand Ambassadors For Software & IT Related Educational Courses","Brand Ambassadors For Software & IT Related Educational Courses","TetraNoodle Technologies","Delhi NCR- Mumbai- Bengaluru- Chennai- Hyderabad- Pune- Kolkata- Ahmedabad","sales- software sales- Sales Executive- marketing executive- Student...","2018-04-04",0.0,5.0,5000.0,"IT"
"Associate IT Support","Associate IT Support","Airmesh Communications Limited","Jammu","Networking- Technical Support- Asset Management- Vendor Management...","2018-04-04",5.0,7.0,0.0,"IT"
"Business Development Executive - US IT Staffing - Night Shift","Business Development Executive - US IT Staffing - Night Shift","Simpalm","Indore","US IT Staffing- Bench Sales- Marketing- Business Development- IT Consulting...","2018-04-04",0.0,3.0,0.0,"IT"
"Walk-in for Experienced IT System Administrator","Walk-in for Experienced IT System Administrator","Apima Consulting Pvt Limited","Vadodara","active directory- system administration- windows server...","2018-04-04",3.0,7.0,0.0,"IT"
"Business Development Executive - IT or SaaS Solutions Sales","Business Development Executive - IT or SaaS Solutions Sales","Firstventure Corporation  Private Limited","Mumbai","sales- product marketing- business development- bde...","2018-04-04",1.0,3.0,300000.0,"IT"
"Urgent Requirement for US IT Recruiters with IIC (exp:2-6 Years)","Urgent Requirement for US IT Recruiters with IIC (exp:2-6 Years)","Indotronix International Corporation","Hyderabad(Jubilee Hills)","US IT Recruitment- W2- Sourcing- Head Hunting- Interviewing- Night Shift...","2018-04-04",2.0,6.0,250000.0,"IT"
"Hiring for Technical/ IT Recruiters-gurgaon-immediate Joining","Hiring for Technical/ IT Recruiters-gurgaon-immediate Joining","GLOBIVA SERVICES PRIVATE LIMITED","Delhi NCR","Recruitment- IT Recruitment- technical recruitment- Sourcing- Screening","2018-04-04",1.0,4.0,200000.0,"IT"
"Pantheon Inc Hiring US IT Recruiter for Chennai","Pantheon Inc Hiring US IT Recruiter for Chennai","Pantheon India Pvt Ltd.","Chennai","us it recruitment- c2c- linkedin- hiring- us it recruiter...","2018-04-04",4.0,5.0,0.0,"IT"
"Urgent Opening for IT Policies Analyst in Pune","Urgent Opening for IT Policies Analyst in Pune","Experis IT Private Limited","Pune","Project Management- Project Delivery- IT Governance- Program Delivery...","2018-04-04",7.0,12.0,0.0,"IT"
"Opening for IT Project Manager for Pune","Opening for IT Project Manager for Pune","Experis IT Private Limited","Pune","Project Management- PMP- Prince2- ITIL- Scope Management- Project Delivery-...","2018-04-04",10.0,16.0,0.0,"IT"
"Excellent Opportunity for DSP Optimization for  IT MNC | Bangalore","Excellent Opportunity for DSP Optimization for  IT MNC | Bangalore","Selective Consultants Pvt. Ltd.","Bengaluru","; DSP Optimization","2018-04-05",3.0,8.0,700000.0,"IT"
"We are Hiring US IT Recruiters | Immediate Joiners","We are Hiring US IT Recruiters | Immediate Joiners","Avani Tech Solutions Private Limited","Hyderabad","Communication Skills- US IT Recruiter- us recruiter- us staffing- w2","2018-04-04",2.0,6.0,200000.0,"IT"
"Senior Business Analyst - IT Applications","Senior Business Analyst - IT Applications","EYGBS (India) Private Limited","Kochi","business analysis- business process modeling- scope- project implementation...","2018-04-04",12.0,13.0,0.0,"IT"
"Sales (bdm) - IT Staffing","Sales (bdm) - IT Staffing","Serviont Global solutions Limited","Bengaluru- Chennai","business development- sales management- bdm- client acquisition- selling...","2018-04-04",5.0,10.0,1000000.0,"IT"
"WALK IN : Java Developer/ Sr.developer - IT Product Development","WALK IN : Java Developer/ Sr.developer - IT Product Development","DATAZOIC MACHINES PRIVATE LIMITED","Chennai","Java- SQL","2018-04-04",2.0,4.0,0.0,"IT"
"US IT Recruiter","US IT Recruiter","Abhracloud Softwares India Private Ltd","Hyderabad","us it recruitment- w2 hourly- corp to corp- us staffing- 1099","2018-04-04",3.0,6.0,0.0,"IT"
"US IT Recruiter / Account Manager","US IT Recruiter / Account Manager","Selsoft Tech Private Limited","Chennai(Mogappair)","Technical Recruitment- US IT Recruitment- Dice- H1B- Talent Acquisition...","2018-04-04",1.0,6.0,275000.0,"IT"
"IT Executive| Min. 2 yrs Exp. | Faridabad| KK Spun India Limited","IT Executive| Min. 2 yrs Exp. | Faridabad| KK Spun India Limited","KK SPUN INDIA LIMITED","Faridabad","system administration- hardware maintenance- IT Administrator...","2018-04-04",2.0,7.0,100000.0,"IT"
"Business Development Exectutive (IT Sales)","Business Development Exectutive (IT Sales)","Xiphias Software Technologies Pvt. Ltd.","Bengaluru(6th block Koramangala)","Business Development- IT Sales- Marketing- Cold Calling- Lead Generation...","2018-04-04",0.0,0.0,0.0,"IT"
"IT Helpdesk Engineer @ Valuelabs |looking for Immediate Joiners","IT Helpdesk Engineer @ Valuelabs |looking for Immediate Joiners","ValueLabs LLP","Hyderabad","IT Helpdesk","2018-04-05",2.0,4.0,0.0,"IT"
"Senior Financial Analyst - Non IT Decision Support","Senior Financial Analyst - Non IT Decision Support","EYGBS (India) Private Limited","Bengaluru","Finance- Accounting- Budgeting- Ap- GL- Forecasting- Financial Analysis...","2018-04-04",4.0,6.0,0.0,"IT"
".Net Developer - GDS IT SD",".Net Developer - GDS IT SD","EYGBS (India) Private Limited","Kochi","JQuery- ASP.Net MVC- Javascript- ADO.Net- WCF- CSS- Angularjs- Html5- DHTML...","2018-04-04",3.0,5.0,0.0,"IT"
"Associate Consultant - Non-it Recruitment","Associate Consultant - Non-it Recruitment","RGF SELECT INDIA PRIVATE LIMITED","Bengaluru(Koramangala)","recruitment- non it recruitment- non it staffing- non it recruiter staffing","2018-04-04",1.0,2.0,0.0,"IT"
"Looking For  IT Recruiter for West Delhi-vikaspuri Location","Looking For  IT Recruiter for West Delhi-vikaspuri Location","Future Focus Infotech Pvt. Ltd.","Delhi","it recruitment- contract staffing- IT Staffing","2018-04-04",0.0,3.0,0.0,"IT"
"Non IT Recruiter","Non IT Recruiter","Genius Consultants Limited","Bengaluru","Non IT Recruitment- recruiter- Recruitment","2018-04-04",2.0,6.0,200000.0,"IT"
"Walk In Interview - IT / Non IT Recruiter","Walk In Interview - IT / Non IT Recruiter","People Powered Solutions","Mumbai(Sakinaka)","recruitment- talent acquisition- hiring- it recruitment- non it recruitment...","2018-04-04",0.0,1.0,175000.0,"IT"
"IT Head","IT Head","Premium","Tirupati","IT Head- IT Infrastructure- IT Applications- IT Security- IT Projects...","2018-04-04",13.0,16.0,0.0,"IT"
"Manager - Finance & Accounting - IT","Manager - Finance & Accounting - IT","Premium","Bhopal- MP","Accounting Operations- Finance- Taxation- Financial Management- Indian Gaap...","2018-04-04",5.0,8.0,0.0,"IT"
"Urgent Opening for  US IT Recruiter - Pune Location","Urgent Opening for  US IT Recruiter - Pune Location","RANDSTAD INDIA PVT LTD","Pune","it recruitment- hiring- sourcing- linkedin- recruitment- US Staffing- US IT...","2018-04-04",1.0,3.0,100000.0,"IT"
"RPO | IT Recruitment | Pune","RPO | IT Recruitment | Pune","RANDSTAD INDIA PVT LTD","Pune","IT Recruitment- Interviewing Candidates- Sourcing- RPO- Screening- Hiring...","2018-04-04",6.0,10.0,0.0,"IT"
"RPO | IT Recruitment | Kolkata","RPO | IT Recruitment | Kolkata","RANDSTAD INDIA PVT LTD","Kolkata","IT Recruitment- Interviewing Candidates- Sourcing- Screening...","2018-04-04",6.0,9.0,0.0,"IT"
"Non IT Recruiter","Non IT Recruiter","Genius Consultants Limited","Bengaluru- Mumbai- Pune- Hyderabad- Chennai","Non IT Recruitment","2018-04-04",3.0,8.0,125000.0,"IT"
"IT Recruiter (on-site)","IT Recruiter (on-site)","RANDSTAD INDIA PVT LTD","Bengaluru","IT Recruitment- Contract Staffing- contract hiring...","2018-04-04",4.0,6.0,0.0,"IT"
"Key Account Management | Bangalore | It/non IT - Contract Staffing","Key Account Management | Bangalore | It/non IT - Contract Staffing","RANDSTAD INDIA PVT LTD","Bengaluru(Kodihalli)","Accounting- Key Accounts- Key Account Management- Cross Selling...","2018-04-04",4.0,8.0,0.0,"IT"
"User Interface / Graphic Designer // Leading IT MNC // Bangalore","User Interface / Graphic Designer // Leading IT MNC // Bangalore","Varite India Pvt. Ltd.","Bengaluru","Graphic Designing- web designing- Wordpress Site- User Interface Designing-...","2018-04-04",3.0,5.0,400000.0,"IT"
"Sales job for MBA Freshers| Must have IT Knowledge | 3lpa-4.5lpa","Sales job for MBA Freshers| Must have IT Knowledge | 3lpa-4.5lpa","aasaanjobs private limited","Delhi NCR- Ahmedabad- Chennai","Sales Promotion- Channel Marketing- Promotions- Selling- Channel Partners...","2018-04-04",0.0,1.0,300000.0,"IT"
"Job | Hiring IT Recruiters for Bangalore","Job | Hiring IT Recruiters for Bangalore","ABC Consultants Pvt Ltd","Bengaluru","Recruitment- Head Hunting- Industry Mapping- Hiring- Leadership Hiring...","2018-04-04",2.0,7.0,0.0,"IT"
"Senior Manager - Human Resource - Bpo/kpo/it/telecom","Senior Manager - Human Resource - Bpo/kpo/it/telecom","Premium","Delhi NCR","Employee Grievances- Employee Engagement- Exit Interviews- HR...","2018-04-04",9.0,14.0,0.0,"IT"
"Key Account Manager - IT Contract / Temp Staffing","Key Account Manager - IT Contract / Temp Staffing","RANDSTAD INDIA PVT LTD","Bengaluru","Key account manager- Account manager- Sales- cross selling- Upselling...","2018-04-04",5.0,8.0,0.0,"IT"
"Walk-in Interviews for US IT Recruiters on 07 April Saturday.","Walk-in Interviews for US IT Recruiters on 07 April Saturday.","MSR COSMOS IT Pvt Ltd","Hyderabad","us recruitment- w2- dice- ead- linkedin- night shift- us recruiter...","2018-04-03",3.0,7.0,0.0,"IT"
"US IT Technical Recruiter","US IT Technical Recruiter","NOVATEUR IT TECHNOLOGIES INDIA PRIVATE LIMITED","Hyderabad","technical recruitment- dice- life cycle- sourcing- us staffing- w2...","2018-04-03",1.0,3.0,0.0,"IT"
"US IT Recruiter / Sr. Technical  Recruiter","US IT Recruiter / Sr. Technical  Recruiter","Technosoft Global Services Pvt Ltd","Chennai","1099 w2 C2C","2018-04-04",2.0,7.0,100000.0,"IT"
"Principal Software Engineer - IT","Principal Software Engineer - IT","Dell International Services India  Private Limited","Bengaluru","Selenium Webdriver- Web API- MVC- WCF- HTML5- CSS- JavaScript- JSON- SOAP...","2018-04-04",12.0,15.0,0.0,"IT"
"Principal Software Engineer - IT","Principal Software Engineer - IT","Dell International Services India  Private Limited","Bengaluru","Test Design- Test planning- Test automation development- Test execution...","2018-04-04",12.0,15.0,0.0,"IT"
"Sr Principal SW Engineer - IT","Sr Principal SW Engineer - IT","Dell International Services India  Private Limited","Bengaluru- Hyderabad","Technical Architecture- Technical Leadership- Project Estimation...","2018-04-04",13.0,16.0,0.0,"IT"
"Looking for BDM Sales (IT) Domestic / US/ APAC","Looking for BDM Sales (IT) Domestic / US/ APAC","Stratosphere IT Services Pvt. Ltd.","Noida(Sector-63 Noida)","Client Servicing- client relationship- business development- sales...","2018-04-03",6.0,8.0,500000.0,"IT"
"Hiring for  Sr.us IT Recruiter Role-logic Planet-hyderabad","Hiring for  Sr.us IT Recruiter Role-logic Planet-hyderabad","Logicplanet IT Services (India) Pvt. Ltd.","Hyderabad","US Recruitment- US Staffing- W2- IT Recruitment- H1B...","2018-04-03",9.0,12.0,0.0,"IT"
"Opening for AngularJS Developer with MSR Cosmos IT (cmmi Level-3)","Opening for AngularJS Developer with MSR Cosmos IT (cmmi Level-3)","MSR IT SERVICES LLP","Hyderabad- Vijayawada","javascript- bootstrap- angularjs- html- web services- front end...","2018-04-03",2.0,5.0,0.0,"IT"
"Walkins for IT Recruiters ( 0-1 yrs)","Walkins for IT Recruiters ( 0-1 yrs)","ELPIS IT SOLUTIONS PVT LTD","Bengaluru","recruitment- hr","2018-04-03",0.0,2.0,0.0,"IT"
"IT Sales - TSM / ASM","IT Sales - TSM / ASM","Zebronics India Pvt Ltd","Trivandrum","Channel Sales- Secondary Sales- Distribution Network- Primary- IT Sales...","2018-04-04",1.0,6.0,0.0,"IT"
"Software Engineer 2 - IT","Software Engineer 2 - IT","Dell International Services India  Private Limited","Bengaluru","test scripts- test planning- installation- web applications...","2018-04-04",3.0,6.0,0.0,"IT"
"Product Manager  - Chandigarh  Banking Product Base IT Company","Product Manager  - Chandigarh  Banking Product Base IT Company","Savera IT Solutions P Ltd.","Chandigarh","User Stories- Product Management- Business Analysis- Acceptance Testing...","2018-04-04",9.0,14.0,0.0,"IT"
"Hiring for Hadoop for Experis IT (manpower Group)_ Bangalore Location.","Hiring for Hadoop for Experis IT (manpower Group)_ Bangalore Location.","Experis IT Private Limited","Bengaluru","Java- MySQL- Postgresql- Javascript- Cassandra- SQLite- SCALA- Python...","2018-04-03",7.0,10.0,0.0,"IT"
"Opening for IT Security Lead in Pune","Opening for IT Security Lead in Pune","Experis IT Private Limited","Pune","Information Security- Cissp- ITIL- Web Application...","2018-04-03",10.0,13.0,0.0,"IT"
"Hiring IT Helpdesk / IT Service Desk / TSR / TSE / TSO in Tcs / HP.","Hiring IT Helpdesk / IT Service Desk / TSR / TSE / TSO in Tcs / HP.","Y.C.Padhmanaba","Bengaluru","technical associate- ites- it service desk- technical executive...","2018-04-04",0.0,5.0,175000.0,"IT"
"Immediate Openings for IT Recruiters @trigent Software","Immediate Openings for IT Recruiters @trigent Software","Trigent Software Limited","Bengaluru","IT Recruitment- Screening- Telephonic- Sourcing- Interviewing- HR...","2018-04-03",1.0,3.0,125000.0,"IT"
"Mega Hiring for Technical Support Profile in Top MNC IT / ITES Firms.","Mega Hiring for Technical Support Profile in Top MNC IT / ITES Firms.","Y.C.Padhmanaba","Bengaluru","technical support- tech support- technical support engineer...","2018-04-04",0.0,5.0,200000.0,"IT"
"IT Technology Consultant","IT Technology Consultant","SAP Labs India Pvt. Ltd.","Bengaluru","Java- GIT- Ruby- Continuous Delivery- Perforce- Software Development...","2018-04-03",4.0,9.0,0.0,"IT"
"Mega Walk-in Interview CMS IT Services Pvt. Ltd Hiring for IT Engineer","Mega Walk-in Interview CMS IT Services Pvt. Ltd Hiring for IT Engineer","CMS IT SERVICES PRIVATE LIMITED","Delhi- Gurgaon","Hardware- Desktop Support- Technical Support- IT Infrastructure...","2018-04-03",1.0,3.0,0.0,"IT"
"Operations Lead - IT Infra - Sr Principal Infrastr Eng","Operations Lead - IT Infra - Sr Principal Infrastr Eng","Mphasis Limited","Pune","Service- Automation- Techno - commercial- Tools- LAN- WAN- Team Building...","2018-04-04",7.0,10.0,0.0,"IT"
