"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","job"
"No Sql & Sql Database Developer","No Sql & Sql Database Developer","PeopleStrong HR Services Pvt. Ltd.","Bengaluru","data visualization- ms sql- nosql- Predictive Analysis","2018-03-30",5.0,8.0,0.0,"DS"
"Vice President - Fraud Risk (Big Data Labs)","Vice President - Fraud Risk (Big Data Labs)","Asterion Consulting Pvt. Ltd Private Limited","Bengaluru- Mumbai","Big Data- Data Science- Risk Management- User Experience...","2018-03-30",8.0,13.0,4500000.0,"DS"
"Principal Consultant Analytics","Principal Consultant Analytics","PeopleStrong HR Services Pvt. Ltd.","Bengaluru","data scientist- Data Analyst- data modelling- business intelligence...","2018-03-30",5.0,9.0,0.0,"DS"
"Manager - Analytics - BFSI","Manager - Analytics - BFSI","Premium","Mumbai","data science- statistics- sql- strategy- operations research...","2018-04-02",2.0,5.0,0.0,"DS"
"Machine Learning Manager / Scientist - Python Java C++ R Python","Machine Learning Manager / Scientist - Python Java C++ R Python","Corporate Resource Consultants","Bengaluru- Hyderabad","Machine Learning- Python- R- Java- Predictive Modeling- C++- Data Analysis-...","2018-03-31",5.0,10.0,0.0,"DS"
"Speech Scientist - Artificial Intelligence Machine Learning","Speech Scientist - Artificial Intelligence Machine Learning","Corporate Resource Consultants","Bengaluru- Hyderabad- Noida","machine learning- Artificial Intelligence- Neural Networks- Human- Robot...","2018-03-31",3.0,8.0,0.0,"DS"
"Machine Learning Scientist","Machine Learning Scientist","Corporate Resource Consultants","Bengaluru- Hyderabad","Machine Learning- Data Mining- Java- C++- Perl- Python- R- Matlab","2018-03-31",5.0,10.0,0.0,"DS"
"Head - Search Engineering - Nlp/machine Learning","Head - Search Engineering - Nlp/machine Learning","Emploi Consultancy","Singapore","Natural Language Processing- Machine Learning- NLP- Algorithms...","2018-03-23",5.0,8.0,0.0,"DS"
"Product Head - Search Engineering - Ecommerce","Product Head - Search Engineering - Ecommerce","Premium","Singapore","Natural Language Processing- Machine Learning- Algorithms- Search Engine...","2018-03-23",5.0,8.0,0.0,"DS"
"R Trainer for Data Science","R Trainer for Data Science","Predittori Consulting Pvt. Ltd.","Bengaluru(5th block Koramangala)- Canada","data science- r- case studies- business analytics- data scientist...","2018-03-28",7.0,12.0,0.0,"DS"
"Senior Computer Scientist - C/c++","Senior Computer Scientist - C/c++","Premium","Bengaluru","C- Computer Vision- Deep Learning- C++- Machine Learning- MATLAB- Python...","2018-03-28",2.0,5.0,0.0,"DS"
