link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Front-end-Developer-Web-Developer-PHP-HTML-Madridge-Publishers-Pvt-Ltd-Hyderabad-KPHB-2-to-3-years-040418008490?src=jobsearchDesk&sid=15229209526688&xp=13&px=1,Front-end Developer/ Web Developer- PHP HTML,Front-end Developer/ Web Developer- PHP HTML,Madridge Publishers Pvt. Ltd.,Hyderabad(KPHB),2-3 yrs,css- html- bootstrap- php- web development- mysql- jquery- front end...,Urgent requirement for Web Developer with Madridge Publishers / Madridge International Conferences for ...,Not disclosed,04-04-18,2,3,0,0
https://www.naukri.com/job-listings-Senior-PHP-Web-Developer-PHP-Web-Developer-PHP-Software-Developer-Taxidio-Travel-India-Private-Limited-Mumbai-Colaba-2-to-3-years-040418007822?src=jobsearchDesk&sid=15229209526688&xp=14&px=1,Senior PHP Web Developer PHP Web Developer PHP Software Developer,Senior PHP Web Developer PHP Web Developer PHP Software Developer,Taxidio Travel India Private Limited,Mumbai(Colaba),2-3 yrs,Web Development- PHP- Software Development- Front End- Backend- Database...,,200000 - 325000 P.A.,04-04-18,2,3,200000,325000
https://www.naukri.com/job-listings-Wordpress-Magento-Web-Developer-Vidyavihar-WHITE-RIVERS-MEDIA-SOLUTIONS-PRIVATE-LIMITED-Mumbai-2-to-3-years-040418007728?src=jobsearchDesk&sid=15229209526688&xp=15&px=1,Wordpress & Magento - Web Developer- Vidyavihar,Wordpress & Magento - Web Developer- Vidyavihar,WHITE RIVERS MEDIA SOLUTIONS PRIVATE LIMITED,Mumbai,2-3 yrs,PHP- Magento- Wordpress CMS- Javascript- JQuery- Html5- Web Development- C-..., a)      eCommerce experience with Magento development.  b)       Competent with PHP object ...,Not disclosed,04-04-18,2,3,0,0
https://www.naukri.com/job-listings-Looking-for-Java-Web-Developer-Manipal-Technologies-Limited-Bengaluru-2-to-5-years-040418007221?src=jobsearchDesk&sid=15229209526688&xp=16&px=1,Looking for Java Web Developer,Looking for Java Web Developer,Manipal Technologies Limited,Bengaluru,2-5 yrs,C++- Java- SQL- Web Technologies- Database- C#- Mobile Applications- mobile..., ,200000 - 500000 P.A. Insurance + Other Statutory Be...,04-04-18,2,5,200000,500000
https://www.naukri.com/job-listings-PHP-Web-Developer-CLT-Technologies-Edu-Publishers-Pvt-Ltd-Delhi-NCR-Old-Rajender-Nagar-3-to-4-years-040418006030?src=jobsearchDesk&sid=15229209526688&xp=17&px=1,PHP Web Developer,PHP Web Developer,CLT Technologies & Edu-Publishers Pvt. Ltd,Delhi NCR(Old Rajender Nagar),3-4 yrs,Codeigniter- Laravel- MySQL- Core PHP- CSS- JQuery- Html5- Web Development-..., Strong skills in Core PHP- Codeignitor- Laravel - XML- Jquery- MySQL- CSS- HTML5.  Ensure ...,300000 - 500000 P.A.,04-04-18,3,4,300000,500000
https://www.naukri.com/job-listings-Opening-for-Senior-Web-Developer-Codebox-Codebox-Navi-Mumbai-Mumbai-Ghansoli-Thane-1-to-6-years-040418001730?src=jobsearchDesk&sid=15229209526688&xp=18&px=1,Opening for Senior Web Developer @ Codebox,Opening for Senior Web Developer @ Codebox,Codebox,Navi Mumbai- Mumbai(Ghansoli)- Thane,1-6 yrs,Javascript- JQuery- MySQL- PHP- Laravel- Codeigniter- Ajax- Paypal- Html5...,  Job Description:    We are now hiring Senior Web Developer to join our IT team. ...,Not disclosed,04-04-18,1,6,0,0
https://www.naukri.com/job-listings-Web-Developer-Wordpress-Developer-Gurgaon-Canbay-Technology-Solutions-Gurgaon-1-to-4-years-040418000169?src=jobsearchDesk&sid=15229209526688&xp=19&px=1,Web Developer / Wordpress Developer  - Gurgaon,Web Developer / Wordpress Developer  - Gurgaon,Canbay Technology Solutions,Gurgaon,1-4 yrs,design- wordpress- responsive web design- web development- web developer...,We are looking for Wordpress developers who have experience in developing responsive websites. ...,Not disclosed,04-04-18,1,4,0,0
https://www.naukri.com/job-listings-Web-Developer-Innoactive-Intelligence-llp-Bengaluru-6-to-9-years-030418005877?src=jobsearchDesk&sid=15229209526688&xp=20&px=1,Web Developer,Web Developer,Innoactive Intelligence llp,Bengaluru,6-9 yrs,Javascript- jquery- Angularjs- Node.Js,Senior Web 2.0 Developer  What we want you to do Youll be a critical member of our ...,Not disclosed,05-04-18,6,9,0,0
https://www.naukri.com/job-listings-Web-Developer-Java-net-PHP-Candidates-can-Apply-Delhi-Vinayak-Solutions-Pvt-Limited-Delhi-NCR-East-Patel-Nagar-1-to-6-years-050118005365?src=jobsearchDesk&sid=15229209526688&xp=21&px=1,Web Developer ( Java/.net /PHP Candidates can Apply) - Delhi,Web Developer ( Java/.net /PHP Candidates can Apply) - Delhi,Vinayak Solutions Pvt. Limited,Delhi NCR(East Patel Nagar),1-6 yrs,Java- Android Development- PHP- Web Development- IOS- Web Technologies...,If you are a Java/PHP/.net developer & have a good understanding of web technologies- and want to ...,500000 - 1000000 P.A.,05-04-18,1,6,500000,1000000
https://www.naukri.com/job-listings-Urgent-Opening-s-for-Sr-web-Developers-for-a-Startup-Travel-Company-People-Source-Consulting-Pvt-Ltd-Bengaluru-Jayanagar-3-to-5-years-210318001056?src=jobsearchDesk&sid=15229209526688&xp=22&px=1,Urgent Opening s for Sr. web Developers for a Startup Travel Company,Urgent Opening s for Sr. web Developers for a Startup Travel Company,People Source Consulting Pvt Ltd,Bengaluru(Jayanagar),3-5 yrs,B2B- B2C- Flight- ASP.Net- Html5- MySQL- Ajax- Core PHP- React.Js- Docker..., ,500000 - 700000 P.A.,04-04-18,3,5,500000,700000
