link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Marketing-Executive-First-pay-Slip-Mumbai-Thane-Chennai-0-to-4-years-290318004092?src=jobsearchDesk&sid=15229205357998&xp=43&px=24,Marketing Executive,Marketing Executive,First pay Slip,Mumbai- Thane- Chennai,0-4 yrs,marketing executive- sales executive- field marketing..., ,100000 - 400000 P.A. petrol allowance,2018-03-29,0,4,100000,400000
https://www.naukri.com/job-listings-Digital-Marketing-Trainer-for-MBA-Students-30-Days-Freelance-Work-TechBridge-Labs-Pvt-Ltd-Delhi-NCR-Kolkata-Bhubaneshwar-3-to-8-years-290318002531?src=jobsearchDesk&sid=15229205357998&xp=44&px=24,Digital Marketing Trainer for MBA Students 30 Days Freelance Work,Digital Marketing Trainer for MBA Students 30 Days Freelance Work,TechBridge Labs Pvt. Ltd.,Delhi NCR- Kolkata- Bhubaneshwar,3-8 yrs,Digital Marketing- Digital Marketing Trainer..., ,Not disclosed,2018-03-29,3,8,0,0
https://www.naukri.com/job-listings-Looking-for-MBA-Fresher-s-for-Sales-and-Marketing-Unistal-Systems-Pvt-Ltd-Delhi-Nehru-Place-0-to-0-years-290318001698?src=jobsearchDesk&sid=15229205357998&xp=45&px=24,Looking for MBA Fresher's for Sales and Marketing,Looking for MBA Fresher's for Sales and Marketing,Unistal Systems Pvt. Ltd.,Delhi(Nehru Place),0-0 yrs,Marketing- Mba Fresher- Sales- MS Office- Communication Skills, ,175000 - 250000 P.A.,2018-03-29,0,0,175000,250000
https://www.naukri.com/job-listings-Sales-Marketing-Professionals-for-Power-Quality-Solutions-Autometers-Alliance-Limited-Noida-Sector-57-Noida-6-to-8-years-290318001585?src=jobsearchDesk&sid=15229205357998&xp=46&px=24,Sales & Marketing Professionals for Power Quality Solutions,Sales & Marketing Professionals for Power Quality Solutions,Autometers Alliance Limited,Noida(Sector-57 Noida),6-8 yrs,Sales- marketing- power quality, ,500000 - 900000 P.A. Competitive salary based on ex...,2018-03-29,6,8,500000,900000
https://www.naukri.com/job-listings-Assistant-Manager-Sales-Marketing-TOLIA-INDUSTRIES-Thane-1-to-3-years-310318001474?src=jobsearchDesk&sid=15229205357998&xp=47&px=24,Assistant Manager Sales & Marketing,Assistant Manager Sales & Marketing,TOLIA INDUSTRIES,Thane,1-3 yrs,Sales Management- Marketing- Purchase Order- Quotation- Sales Assistant..., ,100000 - 225000 P.A.,2018-03-31,1,3,100000,225000
https://www.naukri.com/job-listings-Marketing-Engineer-COOL-AID-Indore-1-to-5-years-300318006859?src=jobsearchDesk&sid=15229205357998&xp=48&px=24,Marketing Engineer,Marketing Engineer,COOL AID,Indore,1-5 yrs,Sales- Marketing- Air Conditioning- hvac- Service- Project Engineering..., ,Not disclosed,2018-03-30,1,5,0,0
https://www.naukri.com/job-listings-Executive-Sales-Marketing-SIG-Systems-Pvt-Ltd-Gurgaon-Kanahi-0-to-3-years-300318004040?src=jobsearchDesk&sid=15229205357998&xp=49&px=24,Executive Sales & Marketing,Executive Sales & Marketing,SIG Systems Pvt. Ltd.,Gurgaon(Kanahi),0-3 yrs,Sales Executive Activities- Marketing- Revenue Generation- Lead Generation-..., ,250000 - 300000 P.A.,2018-03-30,0,3,250000,300000
https://www.naukri.com/job-listings-Sales-Engineer-industrial-Marketing-Prishatech-India-OPC-Pvt-Ltd-Bengaluru-HSR-Layout-4-to-6-years-290318006285?src=jobsearchDesk&sid=15229205357998&xp=50&px=24,Sales Engineerindustrial Marketing,Sales Engineerindustrial Marketing,Prishatech India OPC Pvt. Ltd.,Bengaluru(HSR Layout),4-6 yrs,field sales- industrial marketing- sales engineering- marketing engineering..., ,200000 - 700000 P.A.,2018-03-29,4,6,200000,700000
https://www.naukri.com/job-listings-Marketing-Executive-Tendering-Executive-HUBERT-ENVIRO-CARE-SYSTEMS-P-LTD-Chennai-2-to-4-years-290318001490?src=jobsearchDesk&sid=15229205417100&xp=1&px=25,Marketing Executive / Tendering Executive,Marketing Executive / Tendering Executive,HUBERT ENVIRO CARE SYSTEMS (P) LTD,Chennai,2-4 yrs,Tendering- Proposals- Marketing, ,200000 - 250000 P.A.,2018-03-29,2,4,200000,250000
https://www.naukri.com/job-listings-Marketing-Manager-SHIVA-CONSULTANCY-SERVICES-PRIVATE-LIMITED-Delhi-NCR-10-to-20-years-290318001428?src=jobsearchDesk&sid=15229205417100&xp=2&px=25,Marketing Manager,Marketing Manager,SHIVA CONSULTANCY SERVICES PRIVATE LIMITED,Delhi NCR,10-20 yrs,Marketing- PEB- Negotiation- Sales- Quotation- enquiry- order- Tendering..., ,Not disclosed,2018-03-29,10,20,0,0
